"competition","mf","level","match_id","date","home_team","visiting_team","match_n_sets","home_team_set_score","visiting_team_set_score","set_number","home_team_score","visiting_team_score","margin"
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764546",2019-10-05,"Georgetown","Xavier",5,2,3,3,20,25,5
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764546",2019-10-05,"Georgetown","Xavier",5,2,3,4,25,20,5
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764546",2019-10-05,"Georgetown","Xavier",5,2,3,5,8,15,7
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764547",2019-10-05,"Grand Canyon","Utah Valley",4,1,3,1,25,19,6
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764547",2019-10-05,"Grand Canyon","Utah Valley",4,1,3,2,28,30,2
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764547",2019-10-05,"Grand Canyon","Utah Valley",4,1,3,3,24,26,2
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764547",2019-10-05,"Grand Canyon","Utah Valley",4,1,3,4,26,28,2
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764557",2019-10-05,"Loyola Maryland","Lafayette",3,3,0,1,25,18,7
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764557",2019-10-05,"Loyola Maryland","Lafayette",3,3,0,2,25,22,3
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764557",2019-10-05,"Loyola Maryland","Lafayette",3,3,0,3,25,19,6
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764595",2019-10-05,"Cleveland State","Green Bay",5,3,2,1,22,25,3
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764595",2019-10-05,"Cleveland State","Green Bay",5,3,2,2,17,25,8
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764595",2019-10-05,"Cleveland State","Green Bay",5,3,2,3,26,24,2
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764595",2019-10-05,"Cleveland State","Green Bay",5,3,2,4,25,22,3
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764595",2019-10-05,"Cleveland State","Green Bay",5,3,2,5,15,7,8
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764598",2019-10-05,"Youngstown State","Milwaukee",3,0,3,1,14,25,11
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764598",2019-10-05,"Youngstown State","Milwaukee",3,0,3,2,13,25,12
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764598",2019-10-05,"Youngstown State","Milwaukee",3,0,3,3,12,25,13
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764605",2019-10-05,"Wright State","IUPUI",3,3,0,1,25,20,5
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764605",2019-10-05,"Wright State","IUPUI",3,3,0,2,25,21,4
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764605",2019-10-05,"Wright State","IUPUI",3,3,0,3,25,15,10
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764584",2019-10-05,"Presbyterian","Florida A&M",3,3,0,1,25,9,16
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764584",2019-10-05,"Presbyterian","Florida A&M",3,3,0,2,25,14,11
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764584",2019-10-05,"Presbyterian","Florida A&M",3,3,0,3,25,18,7
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764599",2019-10-05,"Oakland","UIC",3,3,0,1,25,20,5
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764599",2019-10-05,"Oakland","UIC",3,3,0,2,25,18,7
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764599",2019-10-05,"Oakland","UIC",3,3,0,3,25,20,5
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764649",2019-10-05,"Yale","Dartmouth",4,3,1,1,25,15,10
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764649",2019-10-05,"Yale","Dartmouth",4,3,1,2,23,25,2
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764649",2019-10-05,"Yale","Dartmouth",4,3,1,3,25,15,10
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764649",2019-10-05,"Yale","Dartmouth",4,3,1,4,25,19,6
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764629",2019-10-05,"Bryant","Saint Francis (PA)",3,3,0,1,25,20,5
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764629",2019-10-05,"Bryant","Saint Francis (PA)",3,3,0,2,25,15,10
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764629",2019-10-05,"Bryant","Saint Francis (PA)",3,3,0,3,25,12,13
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764632",2019-10-05,"Oklahoma","Kansas",4,3,1,1,23,25,2
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764632",2019-10-05,"Oklahoma","Kansas",4,3,1,2,25,21,4
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764632",2019-10-05,"Oklahoma","Kansas",4,3,1,3,25,16,9
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764632",2019-10-05,"Oklahoma","Kansas",4,3,1,4,25,17,8
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764652",2019-10-05,"Princeton","Cornell",4,1,3,1,24,26,2
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764652",2019-10-05,"Princeton","Cornell",4,1,3,2,25,14,11
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764652",2019-10-05,"Princeton","Cornell",4,1,3,3,26,28,2
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764652",2019-10-05,"Princeton","Cornell",4,1,3,4,21,25,4
